รหัส,ชื่อยา,VEN,exclude_status
1580016,Phenytoinsodium 250mg/5ml,V,
1580017,Famotidine 20mg,E,
1580021,ClotrimazoleLozenges 10mg,E,
1580022,"Brompheniramine+Phenyleprine ,Elixir ,60ml",E,ตัดออก
1580024,"Thiamine 100mg ,VitaminB1",E,
1590003,"Cyanocobalamin 100mcg ,VitaminB12",E,
1590008,"Etonogestrel 68mg  ,Implanon",V,
1590012,Enoxaparin 40mg/0.4ml,V,
1590014,ยาแคปซูลตรีผลา 500mg,N,
1590015,ยาแก้ไอมะขามป้อม 120ml,N,
1590018,ยาแคปซูลมะระขี้นก,N,สั่งเมื่อขอ
1590019,ยาเม็ดจันทลีลา,N,สั่งเมื่อขอ
1590020,ยาแคปซูลบำรุงโลหิต,N,สั่งเมื่อขอ
1590023,ยาแคปซูลแก้วห้าดวง,N,สั่งเมื่อขอ
1590025,ยาปราบชมพูทวีป 400mg,N,
1590026,ยาเม็ดธาตุบรรจบ 500mg,N,
1590028,ยาแคปซูลบอระเพ็ด,N,สั่งเมื่อขอ
1590029,ยาแคปซูลขิง 500mg,N,
1590030,ยาหอมทิพโอสถ 25gm,N,
1590032,ยาเขียวหอม,N,สั่งเมื่อขอ
1590033,ยาแคปซูลรางจืด,N,
1590034,ยาแคปซูลเหลืองปิดสมุทร,N,สั่งเมื่อขอ
1590035,Manidipine  20mg,E,
1590036,Ibuprofen 400mg,E,
1600002,Montelukast 10mg,E,
1600010,Methotrexate 2.5mg,E,
1600012,SodiumSulfateenemaUnison 133ml,E,
1600015,Glycerylguaiacolate 100mg,E,
1600017,เจลพริก,N,ตัดออก
1600019,Losartan 100mg,E,
1600020,Rilpivirine  25Mg,E,
1610003,Simvastatin 20mg,E,
1610008,"Amoxicillin400mg+Clavulanic 57mg 457mg/5ml ,70ml",E,
1610009,Salmetrol/Fluticasone 25/50mcg,E,
1610010,Fenofibrate 200mg,E,
1620020,Gabapentin 300mg,E,
1620027,EnalaprilMaleate 20mg,E,
1620029,"Water for Irrigate 1000ml ,SwiIrrigate",V,
1620031,D-5-W 250ml,V,
1630006,"SodiumChloride 500ml ,Nss500ml",V,
1630026,"Morphine 10mg ,IR",N,สั่งเมื่อขอ
1630030,Utrogestan 200mg,E,ตัดออก
1630047,Morphine sulfate 10mg/5ml,N,
1630050,PenicillinGsodium 5MU,V,
1650003,Ethylalcohol 95% 450ml. (12 bott/box),E,
1650005,ยาหอมอินทจักร,N,สั่งเมื่อขอ
1650017,Dexamethazone 4mg,E,ตัดออก
1650021,Favipiravir 200mg,E,
1650062,"Budesonide 64mcg/dose ,NASALSPRAY",E,
1650090,Molnupiravir 200mg,E,
